College,Branch,Year,Avg_Package_LPA,Max_Package_LPA,NIRF_Rank,Top_Companies
NHCE,Mechanical Engineering,2023,7.3,37.4,98,"Siemens, ABB, Tata Motors"
NHCE,Mechanical Engineering,2024,5.0,28.4,86,"Siemens, GE, Tata Motors"
NHCE,Civil Engineering,2023,7.0,44.3,242,"GE, ABB, Siemens"
NHCE,Civil Engineering,2024,6.9,47.3,161,"Bosch, BEL, ABB"
NHCE,Artificial Intelligence and Data Science,2023,5.6,40.5,217,"Microsoft, TCS, SAP Labs"
NHCE,Artificial Intelligence and Data Science,2024,3.8,46.4,107,"Cisco, Infosys, Flipkart"
NHCE,Biotechnology,2023,5.4,31.4,224,"Cipla, Biocon, Novartis"
NHCE,Biotechnology,2024,8.8,49.2,204,"Serum Institute, Cipla, Pfizer"
NHCE,Data Science,2023,7.1,42.3,251,"Infosys, Amazon, Google"
NHCE,Data Science,2024,9.4,47.0,190,"Amazon, TCS, Flipkart"
