College,Branch,Exam,Year,Tuition_Fee,Hostel_Fee,Misc_Fee,OneTime_Fee,Total_First_Year,Total_Annual,Scholarship_Eligible
AEC,Aerospace Engineering,COMEDK,2023,167345,91892,9917,11762,280916,269154,No
PESCE,Electrical and Electronics Engineering,COMEDK,2023,215486,80545,12706,16562,325299,308737,No
GMIT,Electronics and Communication Engineering,KCET,2023,52606,60392,13098,12186,138282,126096,Yes
SCEM,Mechanical Engineering,COMEDK,2024,196015,93981,11724,13035,314755,301720,Yes
VemanaIT,Biotechnology,COMEDK,2024,191599,93094,18892,24514,328099,303585,Yes
DSATM,Mechanical Engineering,KCET,2024,83826,82879,15898,20223,202826,182603,Yes
KSIT,Biotechnology,KCET,2024,59588,81082,19236,21642,181548,159906,No
AITM,Computer Science and Engineering,COMEDK,2024,193799,73666,11966,21908,301339,279431,Yes
RNSIT,Chemical Engineering,KCET,2023,83002,65972,15875,19461,184310,164849,No
DSCE,Biotechnology,COMEDK,2023,217869,70918,9381,29485,327653,298168,Yes
RIT,Information Science and Engineering,KCET,2024,62422,83735,16099,21188,183444,162256,No
MVJCE,Electronics and Communication Engineering,KCET,2023,63256,62210,12527,15448,153441,137993,Yes
NMIT,Artificial Intelligence and Data Science,KCET,2024,61765,89109,19970,14967,185811,170844,Yes
EastPoint,Chemical Engineering,KCET,2024,63633,85065,9571,15254,173523,158269,No
RIT,Artificial Intelligence and Data Science,KCET,2024,75076,65356,15185,11370,166987,155617,No
AITM,Chemical Engineering,KCET,2024,78815,77148,10250,24882,191095,166213,Yes
SDMIT,Computer Science and Engineering,KCET,2024,81146,82660,18829,17475,200110,182635,Yes
UVCE,Biotechnology,KCET,2023,58476,91113,12202,18755,180546,161791,Yes
KLEIT,Data Science,COMEDK,2024,235694,78941,13404,24864,352903,328039,Yes
RVCE,Data Science,KCET,2023,72378,88578,13111,17345,191412,174067,No
VVIT,Computer Science and Engineering,COMEDK,2024,245934,68339,18691,18859,351823,332964,Yes
RNSIT,Artificial Intelligence and Data Science,COMEDK,2024,184261,87898,15932,29111,317202,288091,Yes
RNSIT,Robotics and Automation Engineering,KCET,2024,54242,76620,9847,18027,158736,140709,No
AECMandya,Information Science and Engineering,KCET,2023,75722,92982,10586,23427,202717,179290,Yes
PRES,Civil Engineering,KCET,2024,60544,72840,8870,24938,167192,142254,Yes
AEC,Mechanical Engineering,COMEDK,2023,198375,81236,19523,14306,313440,299134,Yes
VIT,Mechanical Engineering,KCET,2024,81427,77115,9996,21937,190475,168538,No
SDMIT,Electrical and Electronics Engineering,COMEDK,2023,219755,91262,16643,29976,357636,327660,Yes
MSRUAS,Chemical Engineering,KCET,2024,50480,71156,12386,23144,157166,134022,No
REVA,Biotechnology,KCET,2024,65968,78343,13907,18803,177021,158218,Yes
NMIT,Computer Science and Engineering,KCET,2024,51654,68652,10470,26355,157131,130776,No
CMRIT,Biotechnology,KCET,2023,72575,83561,19490,26666,202292,175626,Yes
BMIT,Data Science,COMEDK,2023,236894,81746,15999,16254,350893,334639,Yes
NIE,Electronics and Communication Engineering,COMEDK,2023,201314,73424,12292,17420,304450,287030,No
SIT,Computer Science and Engineering,KCET,2023,62798,60407,15526,19185,157916,138731,No
BIT,Data Science,COMEDK,2024,211757,60979,8488,16003,297227,281224,Yes
VIT,Civil Engineering,COMEDK,2024,214050,75251,13621,26466,329388,302922,Yes
SJBCE,Aerospace Engineering,COMEDK,2023,186780,81729,13434,22694,304637,281943,No
BNMIT,Civil Engineering,KCET,2023,54757,74779,10929,13045,153510,140465,Yes
BNMIT,Electrical and Electronics Engineering,COMEDK,2024,188155,94146,8045,10009,300355,290346,Yes
DrAIT,Biotechnology,KCET,2024,72699,63156,19608,13777,169240,155463,No
BMIT,Artificial Intelligence and Data Science,COMEDK,2023,234456,82994,9509,12420,339379,326959,Yes
KLEIT,Chemical Engineering,KCET,2023,82180,65432,8915,22286,178813,156527,No
SJBCE,Computer Science and Engineering,COMEDK,2024,194280,64867,13502,20194,292843,272649,Yes
AIT,Electronics and Communication Engineering,COMEDK,2023,177287,62586,13554,23409,276836,253427,Yes
AECMandya,Electronics and Communication Engineering,COMEDK,2024,223327,86944,14123,27173,351567,324394,No
PESCE,Electronics and Communication Engineering,COMEDK,2023,222236,80851,10376,27580,341043,313463,Yes
JIT,Chemical Engineering,COMEDK,2023,209498,68381,11627,26666,316172,289506,No
SDMCET,Aerospace Engineering,KCET,2023,68886,63711,8061,10713,151371,140658,Yes
SITM,Information Science and Engineering,COMEDK,2023,248163,64980,10956,15665,339764,324099,No
AEC,Electronics and Communication Engineering,COMEDK,2024,236012,92945,16129,17613,362699,345086,Yes
NIE,Aerospace Engineering,COMEDK,2024,187992,68546,18374,25704,300616,274912,No
RVCE,Aerospace Engineering,COMEDK,2023,189571,82240,17955,22628,312394,289766,Yes
PESCE,Biotechnology,KCET,2024,71584,78865,14223,25074,189746,164672,Yes
SDMCET,Computer Science and Engineering,COMEDK,2023,175551,69035,14695,15511,274792,259281,Yes
RAIT,Computer Science and Engineering,KCET,2023,81791,63803,18216,29858,193668,163810,Yes
SCEM,Aerospace Engineering,COMEDK,2023,214382,71130,15462,21865,322839,300974,No
RVCE,Mechanical Engineering,COMEDK,2023,165652,82950,12001,12421,273024,260603,Yes
PRES,Information Science and Engineering,COMEDK,2023,219748,77719,10025,11819,319311,307492,No
AITM,Artificial Intelligence and Data Science,KCET,2023,57403,85823,15091,27342,185659,158317,No
NCET,Robotics and Automation Engineering,KCET,2024,54204,93947,10463,21279,179893,158614,Yes
REVA,Aerospace Engineering,COMEDK,2023,202787,83624,13522,12342,312275,299933,No
PESU,Computer Science and Engineering,COMEDK,2024,204160,61892,18348,19425,303825,284400,No
VemanaIT,Biotechnology,COMEDK,2023,194594,86608,18606,12085,311893,299808,No
RIT,Biotechnology,COMEDK,2024,169870,89709,15883,27080,302542,275462,Yes
RVCE,Electrical and Electronics Engineering,KCET,2023,51515,91858,18270,15902,177545,161643,No
GIT,Mechanical Engineering,COMEDK,2023,216089,70771,8244,12284,307388,295104,No
AITM,Electronics and Communication Engineering,COMEDK,2024,224519,91577,16605,26901,359602,332701,Yes
SCEM,Electronics and Communication Engineering,COMEDK,2024,198281,74783,8307,23388,304759,281371,No
VVIT,Computer Science and Engineering,KCET,2023,63233,79915,8207,15636,166991,151355,Yes
DrAIT,Data Science,KCET,2024,73613,69204,14297,10151,167265,157114,No
HKBK,Electrical and Electronics Engineering,COMEDK,2024,187118,72810,17312,21725,298965,277240,No
VSM,Robotics and Automation Engineering,COMEDK,2023,162218,89350,12074,25988,289630,263642,No
RVCE,Computer Science and Engineering,COMEDK,2024,243774,94759,11995,15614,366142,350528,Yes
REVA,Aerospace Engineering,COMEDK,2024,216303,84727,10200,15189,326419,311230,Yes
RVCE,Chemical Engineering,KCET,2023,66419,87825,18869,23341,196454,173113,No
PESU,Electronics and Communication Engineering,COMEDK,2023,169203,84839,8412,16253,278707,262454,No
SJBCE,Electrical and Electronics Engineering,COMEDK,2024,218634,87277,11911,12299,330121,317822,Yes
SJBCE,Mechanical Engineering,COMEDK,2023,197630,69032,17615,27768,312045,284277,Yes
SDMIT,Chemical Engineering,COMEDK,2023,192464,87854,9887,22627,312832,290205,Yes
BMSCE,Civil Engineering,KCET,2023,75850,81584,12406,13021,182861,169840,Yes
VSM,Civil Engineering,KCET,2023,52199,88132,18133,11119,169583,158464,No
REVA,Data Science,COMEDK,2023,199104,87715,19358,24289,330466,306177,No
CMRIT,Computer Science and Engineering,COMEDK,2023,238174,70170,18160,18271,344775,326504,Yes
MSRIT,Artificial Intelligence and Data Science,KCET,2023,69117,91223,11814,13440,185594,172154,No
AIT,Mechanical Engineering,COMEDK,2024,238960,75381,18316,29387,362044,332657,Yes
CMRIT,Information Science and Engineering,KCET,2023,53536,66761,16450,23317,160064,136747,Yes
KSIT,Computer Science and Engineering,KCET,2024,50154,84825,17849,11109,163937,152828,Yes
AIT,Civil Engineering,KCET,2024,59020,71360,9556,10421,150357,139936,No
PESU,Aerospace Engineering,KCET,2024,80942,64960,18042,21810,185754,163944,No
NHCE,Mechanical Engineering,COMEDK,2024,186852,77998,13468,15469,293787,278318,No
SDMCET,Robotics and Automation Engineering,KCET,2024,65688,62561,13920,14479,156648,142169,No
GMIT,Civil Engineering,COMEDK,2023,222732,93380,8400,19053,343565,324512,Yes
KSIT,Information Science and Engineering,COMEDK,2024,248512,78133,12914,21046,360605,339559,No
NIE,Electrical and Electronics Engineering,KCET,2023,80893,63348,14900,25940,185081,159141,No
SCEM,Electrical and Electronics Engineering,COMEDK,2023,233674,92361,15610,22717,364362,341645,Yes
AEC,Mechanical Engineering,COMEDK,2024,243673,76061,10923,19187,349844,330657,Yes
PRES,Electronics and Communication Engineering,KCET,2024,74480,64002,8107,28160,174749,146589,No
PRES,Mechanical Engineering,KCET,2023,51859,83004,17043,25831,177737,151906,No
VVCE,Civil Engineering,COMEDK,2023,190337,63825,15499,27218,296879,269661,Yes
AECMandya,Electrical and Electronics Engineering,KCET,2024,67519,66930,13390,17649,165488,147839,Yes
BNMIT,Civil Engineering,COMEDK,2023,238172,66547,19884,11788,336391,324603,Yes
SJBCE,Chemical Engineering,COMEDK,2023,195709,71771,16940,29665,314085,284420,Yes
NHCE,Data Science,KCET,2023,64474,75722,10930,13619,164745,151126,No
BMIT,Civil Engineering,COMEDK,2024,234166,70041,14034,23744,341985,318241,Yes
DrAIT,Electronics and Communication Engineering,COMEDK,2024,245361,72056,10539,16393,344349,327956,Yes
PRES,Computer Science and Engineering,COMEDK,2023,175558,69227,13759,14232,272776,258544,No
DBIT,Information Science and Engineering,COMEDK,2023,173941,62294,15281,25868,277384,251516,No
RVUNIV,Computer Science and Engineering,COMEDK,2024,225285,83367,12575,12266,333493,321227,No
SDMIT,Computer Science and Engineering,COMEDK,2023,192549,83097,13734,17275,306655,289380,Yes
EastPoint,Electrical and Electronics Engineering,KCET,2023,76999,79122,8722,17249,182092,164843,Yes
DBIT,Mechanical Engineering,COMEDK,2023,216357,82812,14629,15645,329443,313798,Yes
SCEM,Information Science and Engineering,COMEDK,2024,243203,80821,17595,14628,356247,341619,No
BMSCE,Civil Engineering,COMEDK,2023,164867,61695,8605,24518,259685,235167,Yes
SDMCET,Mechanical Engineering,COMEDK,2024,170625,74242,13304,17144,275315,258171,No
SDMCET,Electronics and Communication Engineering,KCET,2023,75670,67779,12645,29413,185507,156094,No
SJBIT,Computer Science and Engineering,COMEDK,2024,180357,80275,8259,20753,289644,268891,Yes
SDMIT,Information Science and Engineering,KCET,2024,57539,80873,8797,12282,159491,147209,Yes
PESU,Artificial Intelligence and Data Science,COMEDK,2023,227920,61000,11017,21814,321751,299937,Yes
UVCE,Aerospace Engineering,COMEDK,2024,160181,93902,16541,29670,300294,270624,Yes
BNMIT,Civil Engineering,COMEDK,2023,189973,89916,13488,17333,310710,293377,Yes
SIT,Computer Science and Engineering,KCET,2024,52203,83510,12816,26811,175340,148529,No
SDMCET,Electronics and Communication Engineering,KCET,2024,66233,61798,8036,11503,147570,136067,No
VSM,Robotics and Automation Engineering,COMEDK,2023,208843,87753,10081,14520,321197,306677,No
AIT,Robotics and Automation Engineering,COMEDK,2023,214102,78415,13536,28773,334826,306053,No
NMIT,Mechanical Engineering,KCET,2023,53424,91575,13298,11139,169436,158297,No
KLSGIT,Computer Science and Engineering,COMEDK,2023,166907,71487,12822,18060,269276,251216,Yes
EastPoint,Mechanical Engineering,COMEDK,2023,247989,80607,15438,22544,366578,344034,Yes
NHCE,Information Science and Engineering,COMEDK,2023,160147,89001,9443,22868,281459,258591,Yes
SIT,Artificial Intelligence and Data Science,COMEDK,2023,181458,63852,11461,12626,269397,256771,No
AITM,Data Science,COMEDK,2023,234134,80184,14761,22202,351281,329079,No
SCEM,Mechanical Engineering,COMEDK,2024,197183,76252,8968,13361,295764,282403,Yes
JNNCE,Chemical Engineering,KCET,2024,72010,88790,17319,27841,205960,178119,No
MVJCE,Information Science and Engineering,KCET,2023,83423,60537,17358,29172,190490,161318,No
AITM,Computer Science and Engineering,COMEDK,2023,166145,77910,14118,23655,281828,258173,No
BMIT,Robotics and Automation Engineering,COMEDK,2024,185157,69108,19503,18394,292162,273768,Yes
CITGubbi,Civil Engineering,KCET,2023,59004,93407,11082,25481,188974,163493,Yes
SITM,Information Science and Engineering,COMEDK,2023,223815,69845,17469,17344,328473,311129,No
SIT,Chemical Engineering,KCET,2024,60822,88258,14058,17406,180544,163138,No
SJBIT,Aerospace Engineering,KCET,2023,51857,67308,16832,27975,163972,135997,Yes
GMIT,Electronics and Communication Engineering,COMEDK,2024,179476,77904,15488,26601,299469,272868,Yes
VIT,Information Science and Engineering,KCET,2024,55963,65581,16457,23797,161798,138001,No
SJBIT,Aerospace Engineering,COMEDK,2023,167642,90687,10458,17573,286360,268787,Yes
NMIT,Artificial Intelligence and Data Science,COMEDK,2023,229244,70386,15389,23237,338256,315019,No
VIT,Artificial Intelligence and Data Science,KCET,2023,53317,60954,9124,26932,150327,123395,No
BMIT,Biotechnology,COMEDK,2024,166522,73539,17122,26666,283849,257183,Yes
BITM,Electronics and Communication Engineering,KCET,2023,63949,77551,13912,13795,169207,155412,Yes
AECMandya,Electrical and Electronics Engineering,COMEDK,2024,160928,69551,14497,10688,255664,244976,Yes
BMSIT,Information Science and Engineering,COMEDK,2024,249346,61464,8281,13638,332729,319091,Yes
SJBCE,Electronics and Communication Engineering,KCET,2024,52243,70615,11572,22479,156909,134430,Yes
DrAIT,Aerospace Engineering,KCET,2023,62091,93695,11383,17805,184974,167169,Yes
JSSSTU,Electronics and Communication Engineering,KCET,2024,81027,73365,14226,17694,186312,168618,No
SCEM,Civil Engineering,KCET,2024,54358,92590,13561,19032,179541,160509,Yes
AITM,Information Science and Engineering,COMEDK,2023,202433,79469,11831,13205,306938,293733,No
JSSSTU,Robotics and Automation Engineering,COMEDK,2024,203526,64840,10608,19052,298026,278974,Yes
VIT,Robotics and Automation Engineering,KCET,2023,67839,73024,16516,11952,169331,157379,No
CITGubbi,Artificial Intelligence and Data Science,COMEDK,2023,187878,71822,13463,29171,302334,273163,No
KLSGIT,Electrical and Electronics Engineering,KCET,2023,63606,89051,17128,16579,186364,169785,Yes
NHCE,Mechanical Engineering,COMEDK,2023,233848,75523,12398,23435,345204,321769,Yes
BMIT,Computer Science and Engineering,KCET,2023,62718,87138,13043,25553,188452,162899,No
VemanaIT,Data Science,KCET,2023,57322,93761,12680,21635,185398,163763,Yes
VemanaIT,Chemical Engineering,KCET,2024,51119,93152,9780,15670,169721,154051,Yes
BMSIT,Civil Engineering,COMEDK,2024,168323,88794,8810,10528,276455,265927,No
RAIT,Civil Engineering,KCET,2023,64202,84735,17619,29121,195677,166556,Yes
BMIT,Information Science and Engineering,COMEDK,2023,185288,78816,17553,24142,305799,281657,No
RNSIT,Artificial Intelligence and Data Science,KCET,2024,78732,73679,13737,20343,186491,166148,No
KLEIT,Mechanical Engineering,COMEDK,2024,161427,83931,16303,21731,283392,261661,Yes
SJBCE,Civil Engineering,COMEDK,2024,174810,78727,11916,13564,279017,265453,No
SDMCET,Computer Science and Engineering,COMEDK,2024,165598,75561,11435,14468,267062,252594,Yes
DrAIT,Computer Science and Engineering,COMEDK,2023,198000,72471,14950,24449,309870,285421,No
BMSCE,Computer Science and Engineering,COMEDK,2024,201270,62623,10314,13962,288169,274207,No
BMIT,Robotics and Automation Engineering,COMEDK,2023,165839,68758,15644,29065,279306,250241,Yes
SDMIT,Electronics and Communication Engineering,KCET,2023,76970,78034,10692,22839,188535,165696,No
YKCE,Robotics and Automation Engineering,COMEDK,2024,240574,68106,16997,11752,337429,325677,Yes
SDMCET,Artificial Intelligence and Data Science,COMEDK,2023,200922,79766,13250,22584,316522,293938,Yes
SJBCE,Robotics and Automation Engineering,COMEDK,2023,175557,90361,10861,23356,300135,276779,No
KLEIT,Mechanical Engineering,COMEDK,2023,233236,74701,8958,14348,331243,316895,Yes
SIT,Robotics and Automation Engineering,KCET,2024,66943,69813,10470,11795,159021,147226,Yes
AITM,Electrical and Electronics Engineering,COMEDK,2024,161187,74202,18075,18006,271470,253464,Yes
KLEIT,Robotics and Automation Engineering,KCET,2023,64049,89780,10983,16197,181009,164812,No
DBIT,Data Science,KCET,2024,69218,79530,16194,25704,190646,164942,No
SDMCET,Data Science,COMEDK,2023,196467,94360,15233,25726,331786,306060,Yes
SDMIT,Chemical Engineering,KCET,2024,65708,64347,11450,19069,160574,141505,Yes
SJBCE,Computer Science and Engineering,KCET,2024,66235,66851,17723,13164,163973,150809,Yes
DBIT,Mechanical Engineering,COMEDK,2023,236800,70665,19536,20837,347838,327001,Yes
MVJCE,Computer Science and Engineering,KCET,2024,54089,64872,9779,23384,152124,128740,Yes
KLEIT,Aerospace Engineering,COMEDK,2023,199877,80239,10449,20055,310620,290565,No
KLEIT,Computer Science and Engineering,COMEDK,2023,177564,66785,17519,14453,276321,261868,Yes
JNNCE,Data Science,KCET,2023,74995,71778,15545,28202,190520,162318,Yes
MSRUAS,Aerospace Engineering,KCET,2024,62477,84067,14356,10688,171588,160900,No
GMIT,Data Science,COMEDK,2024,234450,86667,11544,13479,346140,332661,No
PESCE,Chemical Engineering,COMEDK,2024,160975,70162,13260,10164,254561,244397,No
VSM,Robotics and Automation Engineering,KCET,2024,75667,84491,14773,17401,192332,174931,Yes
RVUNIV,Civil Engineering,KCET,2024,76463,82622,9908,29580,198573,168993,Yes
UVCE,Electronics and Communication Engineering,KCET,2024,83735,75742,15907,20617,196001,175384,Yes
JSSSTU,Robotics and Automation Engineering,COMEDK,2024,165211,74655,18525,27965,286356,258391,No
SJBCE,Chemical Engineering,KCET,2024,51899,83382,14730,11074,161085,150011,No
PRES,Data Science,COMEDK,2023,188918,76191,18283,14605,297997,283392,No
NIE,Mechanical Engineering,COMEDK,2023,197204,78278,12786,24240,312508,288268,No
SIT,Electrical and Electronics Engineering,KCET,2024,72569,80545,17347,25685,196146,170461,Yes
RVCE,Computer Science and Engineering,COMEDK,2024,201935,66606,10532,25549,304622,279073,Yes
SIT,Chemical Engineering,COMEDK,2024,224720,85285,13539,14975,338519,323544,No
HKBK,Electronics and Communication Engineering,KCET,2024,64688,75446,15439,10158,165731,155573,Yes
JIT,Biotechnology,COMEDK,2023,244775,74045,10999,29447,359266,329819,No
SJBCE,Electronics and Communication Engineering,KCET,2024,68782,77991,14277,29994,191044,161050,No
GIT,Chemical Engineering,KCET,2024,79529,79943,15115,14381,188968,174587,Yes
MSRUAS,Information Science and Engineering,COMEDK,2024,241003,85790,15070,22714,364577,341863,Yes
SDMIT,Data Science,COMEDK,2024,177562,84047,14474,27701,303784,276083,No
NCET,Aerospace Engineering,COMEDK,2023,202770,78911,18095,22395,322171,299776,No
MSRIT,Artificial Intelligence and Data Science,KCET,2024,65729,86277,9088,17656,178750,161094,Yes
NIE,Robotics and Automation Engineering,COMEDK,2024,204700,86155,10250,22578,323683,301105,Yes
RNSIT,Robotics and Automation Engineering,KCET,2023,78397,67873,19059,11415,176744,165329,No
GMIT,Chemical Engineering,KCET,2023,53338,70481,18914,20530,163263,142733,No
AITM,Chemical Engineering,COMEDK,2024,240105,78672,13118,17532,349427,331895,No
JIT,Civil Engineering,COMEDK,2023,225362,77203,15422,10542,328529,317987,Yes
VVCE,Aerospace Engineering,KCET,2024,81460,90344,9887,27085,208776,181691,Yes
NCET,Data Science,KCET,2023,83305,75731,8983,14327,182346,168019,No
SJBIT,Data Science,KCET,2024,77253,76694,12175,24361,190483,166122,Yes
BMSCE,Information Science and Engineering,COMEDK,2023,223522,73412,14214,12031,323179,311148,Yes
BITM,Computer Science and Engineering,KCET,2023,80376,64262,17329,22515,184482,161967,No
VSM,Information Science and Engineering,COMEDK,2024,200671,91264,17785,12053,321773,309720,No
YKCE,Aerospace Engineering,KCET,2023,69825,93141,18695,11322,192983,181661,No
VemanaIT,Chemical Engineering,COMEDK,2024,249170,70606,8470,13840,342086,328246,No
VSM,Electronics and Communication Engineering,COMEDK,2024,195563,79750,17674,14301,307288,292987,Yes
DSATM,Civil Engineering,KCET,2023,52666,88030,15834,14802,171332,156530,Yes
KSIT,Data Science,KCET,2023,81105,94237,18354,22641,216337,193696,No
MSRIT,Biotechnology,COMEDK,2024,176220,78654,17911,18346,291131,272785,Yes
SDMCET,Mechanical Engineering,COMEDK,2024,221837,85881,19441,10527,337686,327159,No
AEC,Aerospace Engineering,KCET,2023,83526,91955,13659,20068,209208,189140,Yes
NMIT,Information Science and Engineering,KCET,2024,71727,89061,12909,13521,187218,173697,Yes
NCET,Aerospace Engineering,COMEDK,2023,224303,92327,14221,12697,343548,330851,No
SIT,Robotics and Automation Engineering,COMEDK,2023,179948,83175,12117,15643,290883,275240,Yes
AEC,Electrical and Electronics Engineering,KCET,2023,84316,77881,17741,13081,193019,179938,No
KSIT,Aerospace Engineering,COMEDK,2024,193362,60380,13000,13523,280265,266742,Yes
BITM,Electrical and Electronics Engineering,COMEDK,2023,165734,82396,16614,29020,293764,264744,No
DSCE,Aerospace Engineering,COMEDK,2024,187088,64788,16939,13719,282534,268815,No
VVIT,Computer Science and Engineering,KCET,2024,66056,80646,11071,10117,167890,157773,No
BMSCE,Computer Science and Engineering,COMEDK,2023,224405,68145,13835,25882,332267,306385,Yes
VSM,Computer Science and Engineering,KCET,2024,82249,71242,10269,11652,175412,163760,No
REVA,Electronics and Communication Engineering,KCET,2023,78037,80673,10754,17450,186914,169464,No
VSM,Artificial Intelligence and Data Science,KCET,2023,76405,65927,14889,13278,170499,157221,No
MVJCE,Mechanical Engineering,KCET,2023,68055,90879,16284,15565,190783,175218,Yes
GIT,Mechanical Engineering,KCET,2024,74309,76757,16877,14879,182822,167943,Yes
SCEM,Mechanical Engineering,KCET,2023,62694,77611,17896,10401,168602,158201,Yes
RIT,Information Science and Engineering,KCET,2023,72730,86723,13954,23263,196670,173407,Yes
NCET,Biotechnology,COMEDK,2023,244268,67144,8464,15063,334939,319876,No
BITM,Mechanical Engineering,KCET,2023,67064,94911,12114,29165,203254,174089,Yes
NCET,Mechanical Engineering,KCET,2023,70998,88026,8560,21625,189209,167584,No
KLEIT,Civil Engineering,KCET,2023,61932,62974,14565,17662,157133,139471,No
DrAIT,Biotechnology,COMEDK,2024,223884,66096,10633,16969,317582,300613,No
VemanaIT,Chemical Engineering,KCET,2024,84336,70804,9456,13442,178038,164596,Yes
EastPoint,Chemical Engineering,KCET,2023,55526,88883,11873,25505,181787,156282,No
JNNCE,Computer Science and Engineering,KCET,2023,79985,92913,11184,27468,211550,184082,No
YKCE,Computer Science and Engineering,COMEDK,2024,183807,91446,15982,22027,313262,291235,No
AITM,Mechanical Engineering,COMEDK,2024,219853,90583,12853,11273,334562,323289,No
BNMIT,Artificial Intelligence and Data Science,KCET,2023,81776,90156,8055,19444,199431,179987,No
VemanaIT,Robotics and Automation Engineering,KCET,2024,80051,72555,14172,17342,184120,166778,No
KLEIT,Civil Engineering,KCET,2024,60161,66132,10777,19838,156908,137070,Yes
PRES,Robotics and Automation Engineering,KCET,2024,57711,91070,12843,21591,183215,161624,Yes
RVCE,Electrical and Electronics Engineering,KCET,2024,65792,76090,11647,17011,170540,153529,Yes
RVCE,Mechanical Engineering,KCET,2024,67838,67016,11890,13967,160711,146744,Yes
YKCE,Information Science and Engineering,COMEDK,2023,176496,63258,17482,24951,282187,257236,No
DSCE,Aerospace Engineering,COMEDK,2024,187581,60204,18075,29391,295251,265860,No
SITM,Computer Science and Engineering,KCET,2023,58342,77345,15685,19328,170700,151372,No
PRES,Aerospace Engineering,KCET,2024,50668,76364,18529,24761,170322,145561,No
SIT,Electrical and Electronics Engineering,COMEDK,2023,175899,66359,18021,24233,284512,260279,No
SJBIT,Electrical and Electronics Engineering,KCET,2024,69167,92226,16814,22645,200852,178207,No
PRES,Aerospace Engineering,KCET,2024,66003,74010,19203,15358,174574,159216,Yes
JSSSTU,Information Science and Engineering,COMEDK,2024,239336,60681,19338,16503,335858,319355,Yes
YKCE,Civil Engineering,KCET,2023,71467,63010,10133,19157,163767,144610,No
SJBIT,Chemical Engineering,KCET,2023,84689,73928,10636,15939,185192,169253,Yes
GMIT,Data Science,KCET,2023,74295,74381,15077,13404,177157,163753,Yes
BITM,Artificial Intelligence and Data Science,KCET,2023,70172,91431,8722,27384,197709,170325,No
PESCE,Mechanical Engineering,KCET,2023,72056,72834,18017,23405,186312,162907,No
VIT,Electronics and Communication Engineering,KCET,2024,68600,64894,14490,23317,171301,147984,No
NCET,Mechanical Engineering,COMEDK,2023,225766,89124,13052,26066,354008,327942,No
DSATM,Chemical Engineering,KCET,2024,66080,81444,14004,25113,186641,161528,Yes
BMIT,Electrical and Electronics Engineering,COMEDK,2023,244068,62849,10520,17023,334460,317437,No
