College,Branch,Category,Exam,Year,Total_Seats
SDMIT,Computer Science and Engineering,OBC,KCET,2024,47
UVCE,Biotechnology,Tulu,KCET,2023,14
KLEIT,Data Science,Tulu,COMEDK,2024,22
RVCE,Data Science,OBC,KCET,2023,12
VVIT,Computer Science and Engineering,OBC,COMEDK,2024,29
RNSIT,Artificial Intelligence and Data Science,GM,COMEDK,2024,11
RNSIT,Robotics and Automation Engineering,ST,KCET,2024,10
AECMandya,Information Science and Engineering,OBC,KCET,2023,60
PRES,Civil Engineering,ST,KCET,2024,53
AEC,Mechanical Engineering,Tulu,COMEDK,2023,29
VIT,Mechanical Engineering,ST,KCET,2024,9
SDMIT,Electrical and Electronics Engineering,SC,COMEDK,2023,42
MSRUAS,Chemical Engineering,OBC,KCET,2024,9
REVA,Biotechnology,ST,KCET,2024,16
NMIT,Computer Science and Engineering,GM,KCET,2024,41
CMRIT,Biotechnology,ST,KCET,2023,58
BMIT,Data Science,SC,COMEDK,2023,46
NIE,Electronics and Communication Engineering,OBC,COMEDK,2023,40
SIT,Computer Science and Engineering,Tulu,KCET,2023,43
BIT,Data Science,ST,COMEDK,2024,42
VIT,Civil Engineering,Christian,COMEDK,2024,57
SJBCE,Aerospace Engineering,SC,COMEDK,2023,41
BNMIT,Civil Engineering,OBC,KCET,2023,37
BNMIT,Electrical and Electronics Engineering,OBC,COMEDK,2024,12
DrAIT,Biotechnology,GM,KCET,2024,10
BMIT,Artificial Intelligence and Data Science,GM,COMEDK,2023,35
KLEIT,Chemical Engineering,Christian,KCET,2023,20
SJBCE,Computer Science and Engineering,ST,COMEDK,2024,8
AIT,Electronics and Communication Engineering,Christian,COMEDK,2023,40
AECMandya,Electronics and Communication Engineering,Christian,COMEDK,2024,33
PESCE,Electronics and Communication Engineering,Tulu,COMEDK,2023,45
JIT,Chemical Engineering,Christian,COMEDK,2023,45
SDMCET,Aerospace Engineering,GM,KCET,2023,53
SITM,Information Science and Engineering,ST,COMEDK,2023,22
AEC,Electronics and Communication Engineering,GM,COMEDK,2024,52
NIE,Aerospace Engineering,GM,COMEDK,2024,60
RVCE,Aerospace Engineering,ST,COMEDK,2023,6
PESCE,Biotechnology,Tulu,KCET,2024,6
SDMCET,Computer Science and Engineering,GM,COMEDK,2023,38
RAIT,Computer Science and Engineering,SC,KCET,2023,22
SCEM,Aerospace Engineering,OBC,COMEDK,2023,16
RVCE,Mechanical Engineering,OBC,COMEDK,2023,59
PRES,Information Science and Engineering,OBC,COMEDK,2023,37
AITM,Artificial Intelligence and Data Science,Christian,KCET,2023,28
NCET,Robotics and Automation Engineering,Tulu,KCET,2024,51
REVA,Aerospace Engineering,Christian,COMEDK,2023,11
PESU,Computer Science and Engineering,SC,COMEDK,2024,45
VemanaIT,Biotechnology,SC,COMEDK,2023,49
RIT,Biotechnology,SC,COMEDK,2024,54
RVCE,Electrical and Electronics Engineering,Tulu,KCET,2023,29
GIT,Mechanical Engineering,SC,COMEDK,2023,36
AITM,Electronics and Communication Engineering,Tulu,COMEDK,2024,52
SCEM,Electronics and Communication Engineering,OBC,COMEDK,2024,21
VVIT,Computer Science and Engineering,OBC,KCET,2023,13
DrAIT,Data Science,ST,KCET,2024,35
HKBK,Electrical and Electronics Engineering,SC,COMEDK,2024,11
VSM,Robotics and Automation Engineering,Christian,COMEDK,2023,23
RVCE,Computer Science and Engineering,GM,COMEDK,2024,36
REVA,Aerospace Engineering,Tulu,COMEDK,2024,56
RVCE,Chemical Engineering,Christian,KCET,2023,18
PESU,Electronics and Communication Engineering,SC,COMEDK,2023,29
SJBCE,Electrical and Electronics Engineering,ST,COMEDK,2024,11
SJBCE,Mechanical Engineering,GM,COMEDK,2023,26
SDMIT,Chemical Engineering,SC,COMEDK,2023,48
BMSCE,Civil Engineering,Tulu,KCET,2023,20
VSM,Civil Engineering,GM,KCET,2023,25
REVA,Data Science,GM,COMEDK,2023,8
CMRIT,Computer Science and Engineering,GM,COMEDK,2023,28
MSRIT,Artificial Intelligence and Data Science,GM,KCET,2023,55
AIT,Mechanical Engineering,OBC,COMEDK,2024,33
CMRIT,Information Science and Engineering,Christian,KCET,2023,6
KSIT,Computer Science and Engineering,Christian,KCET,2024,13
AIT,Civil Engineering,OBC,KCET,2024,19
PESU,Aerospace Engineering,GM,KCET,2024,12
NHCE,Mechanical Engineering,OBC,COMEDK,2024,16
SDMCET,Robotics and Automation Engineering,SC,KCET,2024,40
GMIT,Civil Engineering,Tulu,COMEDK,2023,54
KSIT,Information Science and Engineering,Tulu,COMEDK,2024,44
NIE,Electrical and Electronics Engineering,SC,KCET,2023,10
SCEM,Electrical and Electronics Engineering,Tulu,COMEDK,2023,52
AEC,Mechanical Engineering,SC,COMEDK,2024,56
PRES,Electronics and Communication Engineering,Tulu,KCET,2024,20
PRES,Mechanical Engineering,OBC,KCET,2023,60
VVCE,Civil Engineering,OBC,COMEDK,2023,43
AECMandya,Electrical and Electronics Engineering,ST,KCET,2024,11
BNMIT,Civil Engineering,SC,COMEDK,2023,19
SJBCE,Chemical Engineering,Christian,COMEDK,2023,17
NHCE,Data Science,SC,KCET,2023,7
BMIT,Civil Engineering,GM,COMEDK,2024,24
DrAIT,Electronics and Communication Engineering,Christian,COMEDK,2024,52
PRES,Computer Science and Engineering,GM,COMEDK,2023,44
DBIT,Information Science and Engineering,Christian,COMEDK,2023,43
RVUNIV,Computer Science and Engineering,Christian,COMEDK,2024,28
SDMIT,Computer Science and Engineering,ST,COMEDK,2023,11
EastPoint,Electrical and Electronics Engineering,Tulu,KCET,2023,22
DBIT,Mechanical Engineering,GM,COMEDK,2023,28
SCEM,Information Science and Engineering,SC,COMEDK,2024,11
BMSCE,Civil Engineering,Tulu,COMEDK,2023,54
SDMCET,Mechanical Engineering,Christian,COMEDK,2024,47
SDMCET,Electronics and Communication Engineering,SC,KCET,2023,45
SJBIT,Computer Science and Engineering,Tulu,COMEDK,2024,46
SDMIT,Information Science and Engineering,Christian,KCET,2024,10
PESU,Artificial Intelligence and Data Science,OBC,COMEDK,2023,23
UVCE,Aerospace Engineering,GM,COMEDK,2024,45
BNMIT,Civil Engineering,ST,COMEDK,2023,53
SIT,Computer Science and Engineering,Tulu,KCET,2024,23
SDMCET,Electronics and Communication Engineering,OBC,KCET,2024,24
VSM,Robotics and Automation Engineering,Tulu,COMEDK,2023,29
AIT,Robotics and Automation Engineering,Christian,COMEDK,2023,36
NMIT,Mechanical Engineering,OBC,KCET,2023,13
KLSGIT,Computer Science and Engineering,OBC,COMEDK,2023,44
EastPoint,Mechanical Engineering,Tulu,COMEDK,2023,18
NHCE,Information Science and Engineering,Christian,COMEDK,2023,8
SIT,Artificial Intelligence and Data Science,OBC,COMEDK,2023,11
AITM,Data Science,SC,COMEDK,2023,43
SCEM,Mechanical Engineering,Tulu,COMEDK,2024,33
JNNCE,Chemical Engineering,Christian,KCET,2024,38
MVJCE,Information Science and Engineering,Christian,KCET,2023,45
AITM,Computer Science and Engineering,Christian,COMEDK,2023,49
BMIT,Robotics and Automation Engineering,SC,COMEDK,2024,14
CITGubbi,Civil Engineering,SC,KCET,2023,52
SITM,Information Science and Engineering,OBC,COMEDK,2023,7
SIT,Chemical Engineering,OBC,KCET,2024,51
SJBIT,Aerospace Engineering,Christian,KCET,2023,44
GMIT,Electronics and Communication Engineering,Christian,COMEDK,2024,6
VIT,Information Science and Engineering,Christian,KCET,2024,10
SJBIT,Aerospace Engineering,Tulu,COMEDK,2023,45
NMIT,Artificial Intelligence and Data Science,OBC,COMEDK,2023,15
VIT,Artificial Intelligence and Data Science,Christian,KCET,2023,53
BMIT,Biotechnology,SC,COMEDK,2024,12
BITM,Electronics and Communication Engineering,GM,KCET,2023,44
AECMandya,Electrical and Electronics Engineering,Tulu,COMEDK,2024,40
BMSIT,Information Science and Engineering,GM,COMEDK,2024,44
SJBCE,Electronics and Communication Engineering,Tulu,KCET,2024,25
DrAIT,Aerospace Engineering,GM,KCET,2023,48
JSSSTU,Electronics and Communication Engineering,GM,KCET,2024,8
SCEM,Civil Engineering,Christian,KCET,2024,42
AITM,Information Science and Engineering,Christian,COMEDK,2023,58
JSSSTU,Robotics and Automation Engineering,Tulu,COMEDK,2024,15
VIT,Robotics and Automation Engineering,SC,KCET,2023,41
CITGubbi,Artificial Intelligence and Data Science,Tulu,COMEDK,2023,30
KLSGIT,Electrical and Electronics Engineering,SC,KCET,2023,58
NHCE,Mechanical Engineering,SC,COMEDK,2023,8
BMIT,Computer Science and Engineering,OBC,KCET,2023,30
VemanaIT,Data Science,OBC,KCET,2023,45
VemanaIT,Chemical Engineering,ST,KCET,2024,54
BMSIT,Civil Engineering,OBC,COMEDK,2024,20
RAIT,Civil Engineering,SC,KCET,2023,58
BMIT,Information Science and Engineering,Tulu,COMEDK,2023,42
RNSIT,Artificial Intelligence and Data Science,Christian,KCET,2024,36
KLEIT,Mechanical Engineering,ST,COMEDK,2024,11
SJBCE,Civil Engineering,Christian,COMEDK,2024,29
SDMCET,Computer Science and Engineering,Tulu,COMEDK,2024,42
DrAIT,Computer Science and Engineering,ST,COMEDK,2023,6
BMSCE,Computer Science and Engineering,GM,COMEDK,2024,41
BMIT,Robotics and Automation Engineering,ST,COMEDK,2023,7
SDMIT,Electronics and Communication Engineering,GM,KCET,2023,15
YKCE,Robotics and Automation Engineering,GM,COMEDK,2024,7
SDMCET,Artificial Intelligence and Data Science,GM,COMEDK,2023,50
SJBCE,Robotics and Automation Engineering,OBC,COMEDK,2023,6
KLEIT,Mechanical Engineering,ST,COMEDK,2023,57
SIT,Robotics and Automation Engineering,OBC,KCET,2024,34
AITM,Electrical and Electronics Engineering,OBC,COMEDK,2024,26
KLEIT,Robotics and Automation Engineering,GM,KCET,2023,57
DBIT,Data Science,GM,KCET,2024,34
SDMCET,Data Science,Christian,COMEDK,2023,20
SDMIT,Chemical Engineering,SC,KCET,2024,17
SJBCE,Computer Science and Engineering,Christian,KCET,2024,29
DBIT,Mechanical Engineering,Tulu,COMEDK,2023,56
MVJCE,Computer Science and Engineering,Christian,KCET,2024,31
KLEIT,Aerospace Engineering,ST,COMEDK,2023,51
KLEIT,Computer Science and Engineering,Tulu,COMEDK,2023,27
JNNCE,Data Science,GM,KCET,2023,31
MSRUAS,Aerospace Engineering,Christian,KCET,2024,27
GMIT,Data Science,ST,COMEDK,2024,25
PESCE,Chemical Engineering,SC,COMEDK,2024,39
VSM,Robotics and Automation Engineering,SC,KCET,2024,48
RVUNIV,Civil Engineering,ST,KCET,2024,43
UVCE,Electronics and Communication Engineering,OBC,KCET,2024,6
JSSSTU,Robotics and Automation Engineering,SC,COMEDK,2024,59
SJBCE,Chemical Engineering,Tulu,KCET,2024,29
PRES,Data Science,SC,COMEDK,2023,27
NIE,Mechanical Engineering,Tulu,COMEDK,2023,17
SIT,Electrical and Electronics Engineering,ST,KCET,2024,34
RVCE,Computer Science and Engineering,Tulu,COMEDK,2024,57
SIT,Chemical Engineering,GM,COMEDK,2024,39
HKBK,Electronics and Communication Engineering,Christian,KCET,2024,14
JIT,Biotechnology,Christian,COMEDK,2023,47
SJBCE,Electronics and Communication Engineering,GM,KCET,2024,12
GIT,Chemical Engineering,SC,KCET,2024,47
MSRUAS,Information Science and Engineering,ST,COMEDK,2024,30
SDMIT,Data Science,SC,COMEDK,2024,48
NCET,Aerospace Engineering,OBC,COMEDK,2023,41
MSRIT,Artificial Intelligence and Data Science,ST,KCET,2024,49
NIE,Robotics and Automation Engineering,GM,COMEDK,2024,11
RNSIT,Robotics and Automation Engineering,GM,KCET,2023,48
GMIT,Chemical Engineering,ST,KCET,2023,26
AITM,Chemical Engineering,Christian,COMEDK,2024,42
JIT,Civil Engineering,GM,COMEDK,2023,7
VVCE,Aerospace Engineering,ST,KCET,2024,30
NCET,Data Science,Christian,KCET,2023,50
SJBIT,Data Science,SC,KCET,2024,52
BMSCE,Information Science and Engineering,SC,COMEDK,2023,21
BITM,Computer Science and Engineering,Christian,KCET,2023,28
VSM,Information Science and Engineering,Tulu,COMEDK,2024,43
YKCE,Aerospace Engineering,SC,KCET,2023,39
VemanaIT,Chemical Engineering,Tulu,COMEDK,2024,17
VSM,Electronics and Communication Engineering,OBC,COMEDK,2024,54
DSATM,Civil Engineering,Tulu,KCET,2023,47
KSIT,Data Science,GM,KCET,2023,12
MSRIT,Biotechnology,OBC,COMEDK,2024,48
SDMCET,Mechanical Engineering,SC,COMEDK,2024,44
AEC,Aerospace Engineering,OBC,KCET,2023,14
NMIT,Information Science and Engineering,ST,KCET,2024,55
NCET,Aerospace Engineering,Tulu,COMEDK,2023,8
SIT,Robotics and Automation Engineering,Christian,COMEDK,2023,20
AEC,Electrical and Electronics Engineering,Christian,KCET,2023,58
KSIT,Aerospace Engineering,Christian,COMEDK,2024,25
BITM,Electrical and Electronics Engineering,Tulu,COMEDK,2023,23
DSCE,Aerospace Engineering,ST,COMEDK,2024,36
VVIT,Computer Science and Engineering,OBC,KCET,2024,60
BMSCE,Computer Science and Engineering,GM,COMEDK,2023,18
VSM,Computer Science and Engineering,GM,KCET,2024,16
REVA,Electronics and Communication Engineering,OBC,KCET,2023,32
VSM,Artificial Intelligence and Data Science,SC,KCET,2023,27
MVJCE,Mechanical Engineering,OBC,KCET,2023,44
GIT,Mechanical Engineering,SC,KCET,2024,58
SCEM,Mechanical Engineering,ST,KCET,2023,24
RIT,Information Science and Engineering,OBC,KCET,2023,36
NCET,Biotechnology,GM,COMEDK,2023,46
BITM,Mechanical Engineering,Christian,KCET,2023,51
NCET,Mechanical Engineering,SC,KCET,2023,25
KLEIT,Civil Engineering,OBC,KCET,2023,60
DrAIT,Biotechnology,Tulu,COMEDK,2024,39
VemanaIT,Chemical Engineering,Tulu,KCET,2024,29
EastPoint,Chemical Engineering,GM,KCET,2023,24
JNNCE,Computer Science and Engineering,ST,KCET,2023,29
YKCE,Computer Science and Engineering,Tulu,COMEDK,2024,26
AITM,Mechanical Engineering,Tulu,COMEDK,2024,14
BNMIT,Artificial Intelligence and Data Science,GM,KCET,2023,14
VemanaIT,Robotics and Automation Engineering,ST,KCET,2024,54
KLEIT,Civil Engineering,SC,KCET,2024,42
PRES,Robotics and Automation Engineering,GM,KCET,2024,17
RVCE,Electrical and Electronics Engineering,ST,KCET,2024,54
RVCE,Mechanical Engineering,OBC,KCET,2024,32
YKCE,Information Science and Engineering,OBC,COMEDK,2023,22
DSCE,Aerospace Engineering,Tulu,COMEDK,2024,32
SITM,Computer Science and Engineering,SC,KCET,2023,40
PRES,Aerospace Engineering,Tulu,KCET,2024,39
SIT,Electrical and Electronics Engineering,ST,COMEDK,2023,42
SJBIT,Electrical and Electronics Engineering,OBC,KCET,2024,33
PRES,Aerospace Engineering,ST,KCET,2024,47
JSSSTU,Information Science and Engineering,ST,COMEDK,2024,40
YKCE,Civil Engineering,Tulu,KCET,2023,43
SJBIT,Chemical Engineering,ST,KCET,2023,21
GMIT,Data Science,Tulu,KCET,2023,29
BITM,Artificial Intelligence and Data Science,OBC,KCET,2023,50
PESCE,Mechanical Engineering,ST,KCET,2023,50
VIT,Electronics and Communication Engineering,GM,KCET,2024,25
NCET,Mechanical Engineering,OBC,COMEDK,2023,16
DSATM,Chemical Engineering,Christian,KCET,2024,50
BMIT,Electrical and Electronics Engineering,GM,COMEDK,2023,29
JIT,Information Science and Engineering,Tulu,KCET,2023,44
MSRUAS,Robotics and Automation Engineering,OBC,KCET,2024,7
KLEIT,Robotics and Automation Engineering,Tulu,COMEDK,2023,13
MSRUAS,Civil Engineering,ST,COMEDK,2023,44
HKBK,Information Science and Engineering,GM,KCET,2023,14
AITM,Electrical and Electronics Engineering,SC,KCET,2024,44
AITM,Electronics and Communication Engineering,Tulu,KCET,2023,32
PRES,Electrical and Electronics Engineering,Christian,COMEDK,2023,42
YKCE,Data Science,Christian,KCET,2023,40
BMSCE,Computer Science and Engineering,Tulu,KCET,2023,25
SIT,Biotechnology,SC,COMEDK,2024,6
CITGubbi,Data Science,GM,KCET,2024,19
KLEIT,Electronics and Communication Engineering,Christian,KCET,2024,49
DSATM,Civil Engineering,GM,COMEDK,2024,42
BMIT,Civil Engineering,Christian,KCET,2023,6
DBIT,Computer Science and Engineering,ST,COMEDK,2024,57
BNMIT,Electrical and Electronics Engineering,Tulu,COMEDK,2023,23
PESCE,Data Science,OBC,KCET,2024,51
MSRUAS,Robotics and Automation Engineering,GM,KCET,2023,56
GMIT,Civil Engineering,Tulu,KCET,2024,16
CMRIT,Data Science,OBC,KCET,2024,28
VIT,Data Science,Christian,KCET,2024,53
BMSIT,Electronics and Communication Engineering,OBC,COMEDK,2024,8
CMRIT,Information Science and Engineering,OBC,COMEDK,2023,48
SDMIT,Chemical Engineering,Christian,COMEDK,2023,35
DSATM,Mechanical Engineering,ST,COMEDK,2024,50
RVUNIV,Electronics and Communication Engineering,ST,KCET,2024,50
GMIT,Civil Engineering,OBC,COMEDK,2024,54
JIT,Aerospace Engineering,Tulu,COMEDK,2023,39
BMSCE,Chemical Engineering,ST,COMEDK,2023,8
KLEIT,Electronics and Communication Engineering,OBC,KCET,2024,28
MVJCE,Information Science and Engineering,OBC,COMEDK,2023,50
SDMIT,Robotics and Automation Engineering,Christian,KCET,2024,14
DrAIT,Electronics and Communication Engineering,ST,COMEDK,2023,45
CMRIT,Information Science and Engineering,SC,COMEDK,2023,60
BITM,Civil Engineering,SC,COMEDK,2023,45
AIT,Biotechnology,OBC,KCET,2023,26
CMRIT,Biotechnology,ST,KCET,2024,10
RVUNIV,Civil Engineering,OBC,COMEDK,2023,27
SJBIT,Biotechnology,SC,COMEDK,2024,47
BNMIT,Information Science and Engineering,SC,KCET,2023,59
HKBK,Electronics and Communication Engineering,GM,KCET,2024,24
SITM,Civil Engineering,ST,COMEDK,2024,34
BMSCE,Mechanical Engineering,GM,COMEDK,2024,7
JSSSTU,Electronics and Communication Engineering,OBC,KCET,2023,31
YKCE,Biotechnology,Christian,KCET,2024,44
MSRUAS,Robotics and Automation Engineering,SC,COMEDK,2024,38
VVIT,Mechanical Engineering,OBC,COMEDK,2023,56
CITGubbi,Robotics and Automation Engineering,Christian,COMEDK,2024,48
MSRUAS,Civil Engineering,Tulu,COMEDK,2023,50
RIT,Mechanical Engineering,SC,COMEDK,2024,37
SCEM,Artificial Intelligence and Data Science,GM,COMEDK,2024,6
MSRUAS,Electrical and Electronics Engineering,OBC,COMEDK,2023,35
BITM,Electronics and Communication Engineering,Tulu,KCET,2023,6
UVCE,Aerospace Engineering,SC,KCET,2023,51
NMIT,Civil Engineering,Christian,COMEDK,2024,6
SIT,Civil Engineering,GM,COMEDK,2023,13
GMIT,Civil Engineering,GM,KCET,2023,33
ACU,Civil Engineering,OBC,COMEDK,2023,52
EastPoint,Civil Engineering,Tulu,KCET,2024,37
ACU,Civil Engineering,SC,KCET,2023,49
ACU,Electronics and Communication Engineering,Christian,COMEDK,2024,10
CITGubbi,Robotics and Automation Engineering,SC,COMEDK,2024,17
KLSGIT,Electronics and Communication Engineering,ST,KCET,2023,43
BITM,Artificial Intelligence and Data Science,ST,COMEDK,2024,59
VemanaIT,Electrical and Electronics Engineering,SC,KCET,2024,41
VemanaIT,Data Science,Tulu,KCET,2023,45
EastPoint,Biotechnology,Christian,COMEDK,2023,55
VVCE,Aerospace Engineering,Christian,KCET,2024,30
VemanaIT,Civil Engineering,SC,KCET,2024,37
PESU,Aerospace Engineering,SC,COMEDK,2023,38
NIE,Electrical and Electronics Engineering,Tulu,KCET,2023,35
VVIT,Biotechnology,OBC,COMEDK,2024,50
RAIT,Computer Science and Engineering,Christian,COMEDK,2023,31
PRES,Electronics and Communication Engineering,SC,KCET,2023,6
RIT,Information Science and Engineering,Tulu,COMEDK,2023,45
KLSGIT,Mechanical Engineering,SC,KCET,2024,12
AECMandya,Information Science and Engineering,ST,COMEDK,2023,60
YKCE,Electronics and Communication Engineering,Christian,COMEDK,2023,17
PESCE,Data Science,Christian,KCET,2024,31
YKCE,Electronics and Communication Engineering,Tulu,KCET,2024,49
BMIT,Mechanical Engineering,ST,COMEDK,2023,40
NCET,Electrical and Electronics Engineering,Christian,KCET,2023,24
CITGubbi,Chemical Engineering,OBC,KCET,2024,31
DSATM,Biotechnology,GM,COMEDK,2024,18
NHCE,Electrical and Electronics Engineering,Christian,COMEDK,2023,53
MSRIT,Civil Engineering,OBC,KCET,2023,8
HKBK,Data Science,GM,KCET,2023,45
BMSCE,Biotechnology,Christian,KCET,2023,54
JIT,Information Science and Engineering,SC,KCET,2024,26
JIT,Artificial Intelligence and Data Science,Christian,COMEDK,2023,34
SIT,Data Science,OBC,KCET,2023,7
GIT,Aerospace Engineering,ST,KCET,2024,60
REVA,Electrical and Electronics Engineering,GM,COMEDK,2023,14
DrAIT,Electrical and Electronics Engineering,Christian,COMEDK,2023,24
DBIT,Aerospace Engineering,Christian,KCET,2023,60
SJBIT,Aerospace Engineering,Christian,COMEDK,2024,8
EastPoint,Biotechnology,GM,COMEDK,2024,19
DSCE,Information Science and Engineering,ST,COMEDK,2023,53
AEC,Mechanical Engineering,Christian,COMEDK,2023,28
RNSIT,Civil Engineering,OBC,KCET,2023,15
CMRIT,Mechanical Engineering,ST,KCET,2023,47
SJBCE,Civil Engineering,SC,COMEDK,2024,14
SITM,Chemical Engineering,Christian,COMEDK,2024,29
VIT,Civil Engineering,ST,COMEDK,2023,27
SJBCE,Civil Engineering,GM,COMEDK,2023,41
DBIT,Chemical Engineering,SC,COMEDK,2023,9
NIE,Chemical Engineering,GM,COMEDK,2023,44
SIT,Electrical and Electronics Engineering,Tulu,KCET,2023,27
BMSCE,Electronics and Communication Engineering,Christian,KCET,2024,29
BIT,Information Science and Engineering,ST,COMEDK,2024,22
SJBIT,Robotics and Automation Engineering,GM,KCET,2023,34
VIT,Mechanical Engineering,OBC,COMEDK,2023,53
BNMIT,Computer Science and Engineering,ST,COMEDK,2023,28
NMIT,Civil Engineering,Christian,COMEDK,2023,23
CITGubbi,Mechanical Engineering,OBC,KCET,2023,12
RAIT,Biotechnology,Tulu,COMEDK,2023,17
PESCE,Artificial Intelligence and Data Science,OBC,KCET,2023,46
VIT,Electrical and Electronics Engineering,SC,KCET,2024,50
AIT,Civil Engineering,GM,KCET,2023,10
MSRIT,Robotics and Automation Engineering,GM,COMEDK,2024,34
SJBIT,Robotics and Automation Engineering,SC,KCET,2024,20
PESCE,Aerospace Engineering,ST,KCET,2023,23
GMIT,Artificial Intelligence and Data Science,Tulu,COMEDK,2024,46
SJBCE,Aerospace Engineering,Tulu,KCET,2024,16
VemanaIT,Electronics and Communication Engineering,SC,COMEDK,2024,35
VVIT,Computer Science and Engineering,Tulu,KCET,2024,26
NHCE,Civil Engineering,ST,KCET,2024,21
BIT,Computer Science and Engineering,GM,COMEDK,2023,27
DBIT,Computer Science and Engineering,Christian,COMEDK,2023,16
BMSCE,Electrical and Electronics Engineering,Christian,KCET,2024,21
KLSGIT,Electrical and Electronics Engineering,Christian,KCET,2024,54
BITM,Aerospace Engineering,ST,KCET,2023,37
PRES,Electrical and Electronics Engineering,ST,KCET,2024,36
DBIT,Civil Engineering,Tulu,COMEDK,2023,42
DSCE,Computer Science and Engineering,Christian,KCET,2023,45
GIT,Robotics and Automation Engineering,Christian,KCET,2023,51
VVIT,Mechanical Engineering,Tulu,COMEDK,2023,29
KSIT,Robotics and Automation Engineering,GM,KCET,2024,58
BMIT,Civil Engineering,ST,COMEDK,2024,15
DSCE,Data Science,GM,KCET,2023,51
NCET,Robotics and Automation Engineering,ST,COMEDK,2023,38
VVCE,Computer Science and Engineering,OBC,COMEDK,2024,46
DBIT,Aerospace Engineering,Tulu,KCET,2023,37
SJBIT,Electronics and Communication Engineering,OBC,KCET,2023,54
MSRUAS,Robotics and Automation Engineering,ST,KCET,2024,16
AIT,Electrical and Electronics Engineering,OBC,KCET,2024,51
DSCE,Biotechnology,GM,COMEDK,2024,40
VemanaIT,Robotics and Automation Engineering,OBC,KCET,2024,23
PESCE,Data Science,OBC,COMEDK,2023,42
CITGubbi,Chemical Engineering,GM,COMEDK,2023,19
NHCE,Aerospace Engineering,SC,KCET,2023,46
NMIT,Robotics and Automation Engineering,Tulu,COMEDK,2023,20
SCEM,Biotechnology,Christian,COMEDK,2024,37
BNMIT,Information Science and Engineering,Tulu,KCET,2024,44
SCEM,Robotics and Automation Engineering,Tulu,COMEDK,2023,39
RVCE,Biotechnology,GM,KCET,2024,56
JNNCE,Electronics and Communication Engineering,SC,COMEDK,2023,25
RVUNIV,Electronics and Communication Engineering,Tulu,KCET,2024,8
CITGubbi,Electronics and Communication Engineering,GM,KCET,2024,21
RAIT,Information Science and Engineering,OBC,KCET,2024,40
SDMCET,Electronics and Communication Engineering,GM,COMEDK,2024,49
NIE,Artificial Intelligence and Data Science,ST,KCET,2024,51
VVIT,Artificial Intelligence and Data Science,Tulu,COMEDK,2024,38
AECMandya,Biotechnology,OBC,KCET,2024,28
