Round,College,Branch,Category,Cutoff_rank,Exam,Year,Tuition_Fee,Hostel_Fee,Misc_Fee,OneTime_Fee,Total_First_Year,Total_Annual,Scholarship_Eligible,Avg_Package_LPA,Max_Package_LPA,NIRF_Rank,Top_Companies
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,OBC,10020,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SC,15443,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,ST,17774,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1G,11367,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2A,9024,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2B,10645,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,3A,8996,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,3B,8213,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,EWS,9336,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
Mock,RVCE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GMK,8988,KCET,2024,50007.0,83549.0,11391.0,21262.0,166209.0,144947.0,No,9.6,33.4,286.0,"Wipro, Google, SAP Labs"
Mock,RVCE,BIOTECHNOLOGY,GM,20718,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,BIOTECHNOLOGY,OBC,22679,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,BIOTECHNOLOGY,SC,27901,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,BIOTECHNOLOGY,ST,29628,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,BIOTECHNOLOGY,1G,23430,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,BIOTECHNOLOGY,2A,21493,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,BIOTECHNOLOGY,2B,23712,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,BIOTECHNOLOGY,3A,22219,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,BIOTECHNOLOGY,3B,23191,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,BIOTECHNOLOGY,EWS,22445,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,BIOTECHNOLOGY,GMK,21600,KCET,2024,68574.0,66959.0,18261.0,12222.0,166016.0,153794.0,No,3.4,17.6,150.0,"Novartis, Serum Institute, Pfizer"
Mock,RVCE,DATA SCIENCE,GM,7690,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,DATA SCIENCE,OBC,10378,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,DATA SCIENCE,SC,15391,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,DATA SCIENCE,ST,16653,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,DATA SCIENCE,1G,10835,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,DATA SCIENCE,2A,10345,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,DATA SCIENCE,2B,10126,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,DATA SCIENCE,3A,9230,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,DATA SCIENCE,3B,9989,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,DATA SCIENCE,EWS,9880,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,DATA SCIENCE,GMK,9209,KCET,2024,51218.0,90276.0,19279.0,24158.0,184931.0,160773.0,Yes,4.2,13.2,155.0,"Flipkart, Amazon, Google"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,GM,7852,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,OBC,11472,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,SC,17289,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,ST,19120,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,1G,10951,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,2A,10865,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,2B,10040,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,3A,10484,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,3B,11067,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,EWS,9223,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,RVCE,ROBOTICS AND AUTOMATION ENGINEERING,GMK,9631,KCET,2024,76650.0,94718.0,11136.0,12669.0,195173.0,182504.0,No,7.8,36.9,126.0,"Airbus, DRDO, ISRO"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,GM,2651,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,OBC,5558,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,SC,10470,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,ST,13588,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,1G,5375,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,2A,4646,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,2B,6136,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,3A,5297,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,3B,3822,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,EWS,3516,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,COMPUTER SCIENCE AND ENGINEERING,GMK,5014,KCET,2024,83768.0,94696.0,13786.0,19260.0,211510.0,192250.0,No,9.8,44.7,283.0,"Flipkart, SAP Labs, Cisco"
Mock,BMSCE,INFORMATION SCIENCE AND ENGINEERING,GM,5181,KCET,2024,55534.0,66326.0,17344.0,12324.0,151528.0,139204.0,Yes,8.8,31.8,114.0,"Tata Motors, Google, Adobe"
Mock,BMSCE,INFORMATION SCIENCE AND ENGINEERING,OBC,8192,KCET,2024,55534.0,66326.0,17344.0,12324.0,151528.0,139204.0,Yes,8.8,31.8,114.0,"Tata Motors, Google, Adobe"
Mock,BMSCE,INFORMATION SCIENCE AND ENGINEERING,SC,13657,KCET,2024,55534.0,66326.0,17344.0,12324.0,151528.0,139204.0,Yes,8.8,31.8,114.0,"Tata Motors, Google, Adobe"
Mock,BMSCE,INFORMATION SCIENCE AND ENGINEERING,ST,14006,KCET,2024,55534.0,66326.0,17344.0,12324.0,151528.0,139204.0,Yes,8.8,31.8,114.0,"Tata Motors, Google, Adobe"
Mock,BMSCE,INFORMATION SCIENCE AND ENGINEERING,1G,7589,KCET,2024,55534.0,66326.0,17344.0,12324.0,151528.0,139204.0,Yes,8.8,31.8,114.0,"Tata Motors, Google, Adobe"
Mock,BMSCE,INFORMATION SCIENCE AND ENGINEERING,2A,7566,KCET,2024,55534.0,66326.0,17344.0,12324.0,151528.0,139204.0,Yes,8.8,31.8,114.0,"Tata Motors, Google, Adobe"
Mock,BMSCE,INFORMATION SCIENCE AND ENGINEERING,2B,7427,KCET,2024,55534.0,66326.0,17344.0,12324.0,151528.0,139204.0,Yes,8.8,31.8,114.0,"Tata Motors, Google, Adobe"
Mock,BMSCE,INFORMATION SCIENCE AND ENGINEERING,3A,6426,KCET,2024,55534.0,66326.0,17344.0,12324.0,151528.0,139204.0,Yes,8.8,31.8,114.0,"Tata Motors, Google, Adobe"
Mock,BMSCE,INFORMATION SCIENCE AND ENGINEERING,3B,7393,KCET,2024,55534.0,66326.0,17344.0,12324.0,151528.0,139204.0,Yes,8.8,31.8,114.0,"Tata Motors, Google, Adobe"
